사용년월,노선ID,노선번호,노선명,표준버스정류장ID,버스정류장ARS번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,등록일자
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900119,21785,낙성대역,0,0,0,0,0,0,0,0,0,0,645,263,2465,588,4439,120,10547,253,11475,140,8562,74,7130,130,6396,165,5164,199,4866,79,3652,77,3384,267,3314,255,3679,562,3929,242,3458,154,3700,131,4580,101,3161,36,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900183,21800,낙성대입구,0,0,0,0,0,0,0,0,0,0,1,0,265,57,262,38,1561,68,1529,65,930,80,534,77,680,82,566,111,506,71,308,92,272,91,379,422,449,300,342,257,358,143,319,101,449,100,448,73,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900184,21819,인헌초등학교,0,0,0,0,0,0,0,0,0,0,0,0,69,32,136,35,691,125,674,101,476,82,294,65,377,65,386,80,343,96,225,100,152,102,110,148,156,162,141,216,156,147,126,76,114,102,102,106,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900131,21844,낙성대현대아파트,0,0,0,0,0,0,0,0,0,0,0,0,23,57,39,47,226,213,340,175,160,165,133,54,104,80,109,100,60,175,66,113,66,102,45,79,49,218,18,195,23,147,22,73,14,84,6,75,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900136,21858,낙성대공원.영어마을,0,0,0,0,0,0,0,0,0,0,0,0,28,82,31,78,91,224,117,217,61,133,77,57,48,90,45,99,47,103,92,77,51,52,103,54,45,74,16,89,25,50,23,17,19,23,2,11,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900140,21864,서울과학전시관,0,0,0,0,0,0,0,0,0,0,0,0,1,104,0,190,18,454,19,351,22,169,8,128,3,132,6,90,5,104,7,106,3,133,1,137,0,107,1,114,2,69,1,64,1,62,1,37,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900185,21870,호암교수회관,0,8,0,0,0,0,0,0,0,0,0,0,76,747,208,1254,981,3002,1064,3151,847,1590,41,368,9,542,13,265,12,476,8,351,5,567,7,565,11,584,2,545,8,447,1,418,1,412,1,295,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900090,21663,인헌아파트,0,3,0,0,0,0,0,0,0,0,61,4,0,0,8,0,0,0,0,0,0,0,196,43,155,59,153,70,110,93,76,127,53,167,50,156,45,261,14,302,21,200,3,181,8,157,6,99,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900153,21882,호암교수회관,0,1,0,0,0,0,0,0,0,0,0,0,75,1,4,0,3,0,0,0,4,3,88,89,52,180,52,139,39,122,37,130,31,140,19,150,18,153,19,127,18,107,3,92,3,111,1,64,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900157,21887,가족생활동,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,20,2,8,122,236,109,412,105,311,108,299,86,303,96,338,102,361,85,291,26,361,9,311,34,328,28,277,1,198,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900159,21892,서울대후문.연구공원,0,20,0,0,0,0,0,0,0,0,0,0,0,53,1,46,6,60,6,51,10,40,139,255,113,536,134,441,98,431,128,255,105,272,100,347,109,301,52,384,21,391,17,326,16,370,6,335,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900161,21895,학부생활관,0,110,0,0,0,0,0,0,0,0,0,1,3,339,23,489,33,480,123,341,66,337,58,369,63,514,66,559,45,574,34,601,18,588,24,745,31,971,12,1077,9,1015,6,1216,7,1938,7,2006,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900162,21897,대학원생활관,0,122,0,0,0,0,0,0,0,0,0,0,4,214,9,348,55,729,111,672,91,594,66,573,87,652,107,750,44,741,30,662,13,686,20,692,36,873,27,980,17,1086,9,1147,8,1739,7,1720,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900163,21899,기숙사삼거리,0,0,0,0,0,0,0,0,0,0,0,0,6,216,21,377,259,2147,520,2143,439,1368,133,1677,100,1204,115,1127,70,1093,40,659,33,526,46,531,27,497,26,284,10,135,5,110,4,110,3,38,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900172,21915,노천강당,0,0,0,0,0,0,0,0,0,0,0,0,0,244,3,861,18,3378,33,3870,49,2650,16,2181,35,1660,33,1661,32,1717,31,1045,32,685,19,484,108,487,4,227,6,143,2,72,6,65,51,15,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120000186,21288,공동기기원,0,0,0,0,0,0,0,0,0,0,0,0,5,125,2,206,18,1280,26,2008,26,1391,51,597,38,407,22,480,6,319,21,259,16,132,15,96,12,121,5,77,2,55,1,46,1,33,0,6,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120000187,21289,유전공학연구소.반도체공동연구소,0,0,0,0,0,0,0,0,0,0,0,0,1,54,3,428,5,905,7,821,15,467,5,197,5,204,8,192,3,121,4,90,4,75,8,52,7,44,5,39,2,27,1,15,1,16,45,3,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120000188,21290,에너지자원연구소,0,0,0,0,0,0,0,0,0,0,0,0,15,27,1,137,13,821,15,1005,12,811,6,418,5,326,11,294,6,297,6,127,14,127,4,85,7,79,3,56,0,23,0,29,0,12,2,4,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120000172,21274,신소재연구소,0,0,0,0,0,0,0,0,0,0,0,0,6,29,0,87,6,320,7,367,4,261,28,159,88,149,77,173,12,62,12,45,11,30,23,33,49,27,7,20,4,8,1,9,2,7,3,2,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900164,21904,제2파워플랜트,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,25,0,33,0,71,1,165,0,98,0,60,0,41,0,21,0,12,0,2,0,1,1,1,0,3,1,1,0,0,0,0,0,0,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900165,21905,건설환경종합연구소,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1,32,0,60,5,266,5,804,2,522,4,159,8,82,1,56,1,20,3,8,6,13,2,12,0,4,0,4,0,1,0,3,9,0,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120000173,21275,제2공학관,0,0,0,0,0,0,0,0,0,0,3,0,44,94,45,249,104,1492,159,3501,193,3728,439,1448,559,1086,695,1162,1043,706,1363,522,1349,454,2768,315,3874,259,2010,189,1704,133,1288,65,1131,64,741,25,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120000174,21276,제1공학관,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,14,0,16,1,19,2,58,2,59,5,80,2,104,3,142,1,322,2,481,6,419,3,240,4,167,0,79,2,69,0,80,0,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120000175,21277,유전공학연구소.반도체공동연구소,0,0,0,0,0,0,0,0,0,0,0,0,29,1,11,0,49,3,32,6,48,8,124,3,146,4,149,11,216,6,258,6,445,5,1501,35,1841,14,712,8,555,4,487,1,358,6,227,1,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120000176,21278,교수회관입구,0,0,0,0,0,0,0,0,0,0,0,0,12,1,5,0,8,0,17,1,32,8,82,2,111,6,88,6,184,5,204,9,318,11,749,5,843,8,324,3,240,1,142,2,136,2,70,0,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900172,21915,노천강당,0,0,0,0,0,0,0,0,0,0,0,0,100,34,15,1,99,14,228,44,230,21,582,31,608,32,682,25,1169,38,1499,53,2071,39,4286,40,4057,53,1759,23,1629,30,1435,27,1786,17,825,43,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120000177,21279,관악사삼거리,0,0,0,0,0,0,0,0,0,0,0,0,59,13,88,12,459,6,275,4,188,5,334,16,419,20,438,32,609,30,618,38,795,30,1321,42,1258,130,512,148,420,133,493,102,502,121,196,82,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900027,21564,대학원생활관,0,0,0,0,0,0,0,0,0,0,0,0,237,29,651,18,946,80,977,44,782,6,963,21,1042,21,942,15,833,25,716,24,1071,56,1238,46,1295,166,711,146,591,134,515,116,452,132,241,105,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900196,21574,학부생활관,0,0,0,0,0,0,0,0,0,0,0,0,276,2,534,10,718,172,857,71,673,24,815,18,1090,24,959,32,777,41,767,37,907,43,1102,57,942,66,674,80,413,63,471,45,333,53,227,27,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900009,21585,BK국제관,0,0,0,0,0,0,0,0,0,0,0,0,73,3,226,4,450,21,322,45,236,19,319,21,327,22,332,21,394,39,372,23,587,38,820,39,443,77,261,52,141,34,105,52,75,33,43,15,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900003,21595,가족생활동,0,0,0,0,0,0,0,0,0,0,0,0,73,7,180,8,354,28,318,45,193,12,227,31,258,17,255,16,307,21,481,30,476,33,973,72,709,93,301,69,205,33,177,36,163,22,120,29,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900185,21870,호암교수회관,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,17,12,45,3,29,6,38,5,51,3,58,10,58,0,64,3,86,6,96,3,171,4,250,2,138,7,84,2,72,1,75,2,39,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900090,21663,인헌아파트,0,0,0,0,0,0,0,0,0,0,0,0,164,20,451,9,750,11,489,17,269,14,226,29,252,36,240,28,167,57,203,56,188,45,153,130,141,250,117,82,79,71,41,71,23,60,5,49,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900095,21689,서울과학전시관,0,0,0,0,0,0,0,0,0,0,0,0,174,6,431,5,670,34,566,38,443,28,448,13,517,15,530,33,501,46,586,27,961,25,970,52,1093,80,428,46,283,50,206,40,96,21,39,29,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900181,21738,낙성대공원.영어마을,0,0,0,0,0,0,0,0,0,0,0,0,12,8,8,6,15,50,30,76,56,25,129,24,89,35,56,27,159,49,111,84,131,56,160,91,90,132,55,65,77,96,93,118,57,98,4,104,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900102,21752,낙성대현대아파트,0,0,0,0,0,0,0,0,0,0,0,0,17,10,165,18,265,148,146,69,71,55,62,108,40,86,43,89,46,73,38,120,59,100,51,201,39,453,17,147,23,142,14,83,21,172,6,118,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900182,21765,인헌초등학교,0,0,0,0,0,0,0,0,0,0,0,0,3,25,52,61,99,250,69,151,40,112,19,270,37,390,26,322,25,298,21,250,22,298,27,878,29,1945,24,862,8,495,9,387,29,321,13,280,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900110,21771,낙성대입구,0,0,0,0,0,0,0,0,0,0,0,0,1,80,11,119,58,254,4,262,6,230,8,327,6,509,8,459,14,566,12,718,7,780,8,1636,25,2199,8,1018,9,814,10,691,5,581,5,389,20190203
201901,11110537,관악02,관악02(낙성대역~서울대신공학관),120900119,21785,낙성대역,0,0,0,0,0,0,0,0,0,0,24,5,482,1065,1385,2088,5042,3847,3849,3558,2053,2730,860,3244,677,4114,1106,3936,1385,4563,937,5599,956,6865,1211,9818,1089,11937,966,5673,577,4090,651,3616,724,3177,663,2230,20190203
201902,11110537,관악02,관악02(낙성대역~서울대신공학관),120900119,21785,낙성대역,0,0,0,0,0,0,0,0,0,0,463,191,1782,551,3675,168,8722,175,10110,134,7540,140,4703,134,5142,153,4417,170,3517,178,2972,55,3294,140,2860,209,3097,497,3271,84,2839,102,2956,94,3327,108,2113,54,20190303
